"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"249","Travis Homer","RB","SEA",13,11,56,-4,60,0,-0.3,-14,0,0.06,0.09,28
"250","DeAndre Carter","WR","HOU",14,11,162,151,57,0,10.8,1.07,0.03,0.03,0.06,27.2
"251","Aaron Rodgers","QB","GB",0,0,0,5024,0,0,Inf,0,1,0,0.7,24.3
"252","Keelan Doss","WR","OAK",14,11,133,124,57,0,8.9,1.07,0.1,0.07,0.18,24.3
"253","Wendell Smallwood","RB","WAS",13,9,64,28,50,0,2.2,2.29,0.01,0.04,0.06,23.5
"254","Jeff Driskel","QB","DET",1,1,6,861,9,0,861,0.01,1,0.01,0.71,22.7
"255","Kyle Allen","QB","CAR",0,0,0,3938,0,0,Inf,0,0.97,0,0.68,22.6
"256","Mack Hollins","WR","PHI",22,10,125,293,33,0,13.3,0.43,0.09,0.07,0.16,22.5
"257","Darrell Henderson","RB","LA",6,4,37,3,37,0,0.5,12.33,0,0.02,0.03,22.4
"258","Devin Smith","WR","DAL",9,5,113,129,32,1,14.3,0.88,0.14,0.09,0.24,22.3
"259","Tom Brady","QB","NE",0,0,0,4633,0,0,Inf,0,0.94,0,0.66,21.4
"260","Dontrelle Inman","WR","LAC",13,8,132,197,31,0,15.2,0.67,0.15,0.09,0.24,21.2
"261","Josh Gordon","WR","SEA",11,7,139,197,16,0,17.9,0.71,0.12,0.07,0.2,20.9
"262","Matt Ryan","QB","ATL",0,0,0,5007,0,0,Inf,0,0.97,0,0.68,20.7
"263","Olamide Zaccheaus","WR","ATL",5,3,115,69,63,1,13.8,1.67,0.04,0.02,0.06,20.5
"264","Derek Carr","QB","OAK",0,0,0,3364,0,0,Inf,0,0.97,0,0.68,20.2
"265","Christian Blake","WR","ATL",24,11,91,182,24,0,7.6,0.5,0.08,0.08,0.18,20.1
"266","Trey Edmunds","RB","PIT",7,6,48,10,42,0,1.4,4.8,0.01,0.03,0.05,20
"267","Brandon Zylstra","WR","CAR",12,8,106,160,10,0,13.3,0.66,0.09,0.06,0.15,18.6
"268","Sam Darnold","QB","NYJ",0,0,0,3615,0,0,Inf,0,0.99,0,0.7,18.2
"269","Alec Ingold","RB","OAK",6,6,44,6,38,1,1,7.33,0,0.02,0.03,18.1
"270","Braxton Berrios","WR","NYJ",13,6,115,132,87,0,10.2,0.87,0.03,0.02,0.06,17.5
"271","Antonio Callaway","WR","CLE",15,8,89,139,44,0,9.3,0.64,0.13,0.11,0.26,16.9
"272","Marcell Ateman","WR","OAK",10,5,116,154,19,0,15.4,0.75,0.14,0.07,0.2,16.6
"273","Jared Goff","QB","LA",0,0,0,4811,0,0,Inf,0,0.99,0,0.69,16
"274","Rashard Higgins","WR","CLE",11,4,55,116,9,1,10.5,0.47,0.06,0.04,0.11,15.5
"275","D'Ernest Johnson","RB","CLE",7,6,71,30,47,0,4.3,2.37,0.01,0.02,0.04,15.2
"276","Darren Sproles","RB","PHI",10,6,24,15,25,0,1.5,1.6,0.01,0.05,0.07,15
"277","Chris Hogan","WR","CAR",15,8,67,122,29,0,8.1,0.55,0.05,0.05,0.12,14.7
"278","Zay Jones","WR","BUF",18,7,69,250,19,0,13.9,0.28,0.18,0.12,0.31,13.9
"279","Marcus Mariota","QB","TEN",0,0,0,1138,0,0,Inf,0,0.73,0,0.51,12.9
"280","Riley Ridley","WR","CHI",7,6,69,62,15,0,8.9,1.11,0.07,0.06,0.13,12.9
"281","Devontae Booker","RB","DEN",9,6,57,36,44,0,4,1.58,0.02,0.03,0.06,12.6
"282","Kirk Cousins","QB","MIN",1,0,0,3407,0,0,3407,0,0.97,0,0.68,12.3
"283","Robert Foster","WR","BUF",18,3,64,451,32,0,25.1,0.14,0.15,0.06,0.19,12.3
"284","Deon Cain","WR","PIT",6,5,72,84,11,0,14,0.86,0.07,0.04,0.11,12.2
"285","Jimmy Garoppolo","QB","SF",0,0,0,3088,0,0,Inf,0,0.96,0,0.67,12.2
"286","David Blough","QB","DET",1,1,19,1498,5,1,1498,0.01,0.94,0.01,0.67,12
"287","Trent Sherfield","WR","ARI",13,4,80,195,10,0,15,0.41,0.07,0.04,0.11,12
"288","Mike Davis","RB","CHI",8,7,22,6,27,0,0.8,3.67,0.01,0.06,0.09,11.7
"289","Andre Patton","WR","LAC",17,6,56,299,28,0,17.6,0.19,0.13,0.05,0.17,11.6
"290","KhaDarel Hodge","WR","CLE",10,4,76,161,9,0,16.1,0.47,0.05,0.02,0.07,11.6
"291","Deonte Harris","WR","NO",6,6,24,-13,37,0,-2.2,-1.85,0,0.01,0.01,11.5
"292","Javorius Allen","RB","NYG",2,1,9,11,4,0,5.5,0.82,0.01,0.01,0.02,11.5
"293","Troymaine Pope","RB","LAC",3,2,14,0,11,1,0,Inf,0,0.01,0.01,11.4
"294","Kenjon Barner","RB","ATL",8,6,22,7,27,0,0.9,3.14,0,0.01,0.02,11
"295","Ryan Switzer","WR","PIT",11,8,27,17,17,0,1.5,1.59,0.01,0.04,0.06,10.7
"296","Nick Bellore","RB","SEA",2,2,23,2,21,1,1,11.5,0,0.01,0.01,10.3
"297","Dwayne Haskins","QB","WAS",0,0,0,1751,0,0,Inf,0,0.79,0,0.55,10.1
"298","AJ McCarron","QB","HOU",0,0,0,313,0,0,Inf,0,0.59,0,0.41,9.9
